date	close	fakedate	year
16-May-06	65.87	16-May-14	2006
9-May-06	65.09	9-May-14	2006
2-May-06	66.86	2-May-14	2006
25-Apr-06	66.63	25-Apr-14	2006
18-Apr-06	68.96	18-Apr-14	2006
11-Apr-06	68.35	11-Apr-14	2006
4-Apr-06	68.05	4-Apr-14	2006
28-Mar-06	75.84	28-Mar-14	2006
21-Mar-06	78.13	21-Mar-14	2006
14-Mar-06	66.73	14-Mar-14	2006
7-Mar-06	68.67	7-Mar-14	2006
28-Feb-06	68.8	28-Feb-14	2006
21-Feb-06	67.31	21-Feb-14	2006
14-Feb-06	67.83	14-Feb-14	2006
7-Feb-06	66.86	7-Feb-14	2006
31-Jan-06	66.49	31-Jan-14	2006
24-Jan-06	58.45	24-Jan-14	2006
17-Jan-06	56.19	17-Jan-14	2006
10-Jan-06	53.79	10-Jan-14	2006
3-Jan-06	53.15	3-Jan-14	2006
27-Dec-05	51.49	27-Dec-14	2005
20-Dec-05	51.49	20-Dec-14	2005
13-Dec-05	50.71	13-Dec-14	2005
6-Dec-05	49.84	6-Dec-14	2005
29-Nov-05	47.05	29-Nov-14	2005
22-Nov-05	52.9	22-Nov-14	2005
15-Nov-05	52.9	15-Nov-14	2005
8-Nov-05	52.31	8-Nov-14	2005
1-Nov-05	52.31	1-Nov-14	2005
25-Oct-05	49.18	25-Oct-14	2005
18-Oct-05	48.79	18-Oct-14	2005
11-Oct-05	50.22	11-Oct-14	2005
4-Oct-05	54.8	4-Oct-14	2005
27-Sep-05	52.68	27-Sep-14	2005
20-Sep-05	53	20-Sep-14	2005
13-Sep-05	52.57	13-Sep-14	2005
6-Sep-05	52.18	6-Sep-14	2005
30-Aug-05	50.75	30-Aug-14	2005
23-Aug-05	50.72	23-Aug-14	2005
16-Aug-05	55.08	16-Aug-14	2005
9-Aug-05	68.78	9-Aug-14	2005
2-Aug-05	67.9	2-Aug-14	2005
26-Jul-05	68.21	26-Jul-14	2005
19-Jul-05	53.18	19-Jul-14	2005
12-Jul-05	40.44	12-Jul-14	2005
5-Jul-05	40.22	5-Jul-14	2005
28-Jun-05	41.95	28-Jun-14	2005
21-Jun-05	40.26	21-Jun-14	2005
14-Jun-05	40.2	14-Jun-14	2005
7-Jun-05	53.83	7-Jun-14	2005
31-May-05	60.89	31-May-14	2005
24-May-05	60.15	24-May-14	2005
17-May-05	55.13	17-May-14	2005
10-May-05	68.66	10-May-14	2005
3-May-05	67.44	3-May-14	2005
26-Apr-05	60.8	26-Apr-14	2005
19-Apr-05	60.68	19-Apr-14	2005
12-Apr-05	59.29	12-Apr-14	2005
5-Apr-05	67.27	5-Apr-14	2005
29-Mar-05	70.71	29-Mar-14	2005
22-Mar-05	71.12	22-Mar-14	2005
15-Mar-05	71.12	15-Mar-14	2005
8-Mar-05	71.12	8-Mar-14	2005
1-Mar-05	70.32	1-Mar-14	2005
22-Feb-05	70.32	22-Feb-14	2005
15-Feb-05	69.84	15-Feb-14	2005
8-Feb-05	68.6	8-Feb-14	2005
1-Feb-05	70.57	1-Feb-14	2005
25-Jan-05	70.57	25-Jan-14	2005
18-Jan-05	68.11	18-Jan-14	2005
11-Jan-05	67.85	11-Jan-14	2005
4-Jan-05	67.97	4-Jan-14	2005
28-Dec-04	67.97	28-Dec-14	2004
21-Dec-04	67.42	21-Dec-14	2004
14-Dec-04	66.15	14-Dec-14	2004
7-Dec-04	66.15	7-Dec-14	2004
30-Nov-04	66.15	30-Nov-14	2004
23-Nov-04	66.2	23-Nov-14	2004
16-Nov-04	66.2	16-Nov-14	2004
9-Nov-04	66.87	9-Nov-14	2004
2-Nov-04	65.87	2-Nov-14	2004
26-Oct-04	66.8	26-Oct-14	2004
19-Oct-04	68.35	19-Oct-14	2004
12-Oct-04	67.68	12-Oct-14	2004
5-Oct-04	69.52	5-Oct-14	2004
28-Sep-04	63.47	28-Sep-14	2004
21-Sep-04	73.82	21-Sep-14	2004
14-Sep-04	74.25	14-Sep-14	2004
7-Sep-04	67.35	7-Sep-14	2004
31-Aug-04	69.71	31-Aug-14	2004
24-Aug-04	68.17	24-Aug-14	2004
17-Aug-04	74.56	17-Aug-14	2004
10-Aug-04	72.67	10-Aug-14	2004
3-Aug-04	75.65	3-Aug-14	2004
27-Jul-04	69.91	27-Jul-14	2004
20-Jul-04	74.67	20-Jul-14	2004
13-Jul-04	71.89	13-Jul-14	2004
6-Jul-04	71.89	6-Jul-14	2004
29-Jun-04	71.42	29-Jun-14	2004
22-Jun-04	72.67	22-Jun-14	2004
15-Jun-04	75.52	15-Jun-14	2004
8-Jun-04	77.82	8-Jun-14	2004
1-Jun-04	77.71	1-Jun-14	2004
25-May-04	82.3	25-May-14	2004
18-May-04	83.81	18-May-14	2004
11-May-04	87.2	11-May-14	2004
4-May-04	88.16	4-May-14	2004
27-Apr-04	87.88	27-Apr-14	2004
20-Apr-04	88.02	20-Apr-14	2004
13-Apr-04	88	13-Apr-14	2004
6-Apr-04	88	6-Apr-14	2004
30-Mar-04	87.89	30-Mar-14	2004
23-Mar-04	90.67	23-Mar-14	2004
16-Mar-04	90.67	16-Mar-14	2004
9-Mar-04	91.35	9-Mar-14	2004
2-Mar-04	95.26	2-Mar-14	2004
24-Feb-04	95.28	24-Feb-14	2004
17-Feb-04	95.28	17-Feb-14	2004
10-Feb-04	95.13	10-Feb-14	2004
3-Feb-04	95.4	3-Feb-14	2004
27-Jan-04	95.4	27-Jan-14	2004
20-Jan-04	95.3	20-Jan-14	2004
13-Jan-04	95.2	13-Jan-14	2004
6-Jan-04	95.74	6-Jan-14	2004
30-Dec-03	95.77	30-Dec-14	2003
23-Dec-03	96.14	23-Dec-14	2003
16-Dec-03	95.22	16-Dec-14	2003
9-Dec-03	96.11	9-Dec-14	2003
2-Dec-03	96.18	2-Dec-14	2003
25-Nov-03	96.44	25-Nov-14	2003
18-Nov-03	96.51	18-Nov-14	2003
11-Nov-03	96.5	11-Nov-14	2003
4-Nov-03	96.37	4-Nov-14	2003
28-Oct-03	96.42	28-Oct-14	2003
21-Oct-03	96.54	21-Oct-14	2003
14-Oct-03	96.55	14-Oct-14	2003
7-Oct-03	96.8	7-Oct-14	2003
30-Sep-03	98.05	30-Sep-14	2003
23-Sep-03	97.95	23-Sep-14	2003
16-Sep-03	97.75	16-Sep-14	2003
9-Sep-03	100	9-Sep-14	2003
2-Sep-03	100	2-Sep-14	2003
26-Aug-03	100	26-Aug-14	2003
19-Aug-03	100	19-Aug-14	2003
12-Aug-03	86.59	12-Aug-14	2003
5-Aug-03	87.7	5-Aug-14	2003
29-Jul-03	82.79	29-Jul-14	2003
22-Jul-03	81.59	22-Jul-14	2003
15-Jul-03	78.24	15-Jul-14	2003
8-Jul-03	61.78	8-Jul-14	2003
1-Jul-03	55.52	1-Jul-14	2003
24-Jun-03	61.96	24-Jun-14	2003
17-Jun-03	71.92	17-Jun-14	2003
10-Jun-03	74.07	10-Jun-14	2003
3-Jun-03	77.16	3-Jun-14	2003
27-May-03	78.45	27-May-14	2003
20-May-03	77.37	20-May-14	2003
13-May-03	81.48	13-May-14	2003
6-May-03	88.59	6-May-14	2003
29-Apr-03	91.65	29-Apr-14	2003
22-Apr-03	91.81	22-Apr-14	2003
15-Apr-03	93.43	15-Apr-14	2003
8-Apr-03	92.7	8-Apr-14	2003
1-Apr-03	93.38	1-Apr-14	2003
25-Mar-03	94.73	25-Mar-14	2003
18-Mar-03	98.35	18-Mar-14	2003
11-Mar-03	98.31	11-Mar-14	2003
4-Mar-03	94.07	4-Mar-14	2003
25-Feb-03	94.08	25-Feb-14	2003
18-Feb-03	96.32	18-Feb-14	2003
11-Feb-03	96.39	11-Feb-14	2003
4-Feb-03	96.2	4-Feb-14	2003
28-Jan-03	96.38	28-Jan-14	2003
