county_orig	county_clean	state_clean	count	match	fips	error	err2	
BEE(TX)	BEE	TX	2	BEE-TX	33025	FALSE	0	
BLANCO(TX)	BLANCO	TX	2	BLANCO-TX	51031	FALSE	0	
BOSQUE(TX)	BOSQUE	TX	2	BOSQUE-TX	22035	FALSE	0	
COMANCHE(TX)	COMANCHE	TX	2	COMANCHE-TX	72093	FALSE	0	
ERATH(TX)	ERATH	TX	2	ERATH-TX	36143	FALSE	0	
FANNIN(TX)	FANNIN	TX	2	FANNIN-TX	27147	FALSE	0	
HARRISON(TX)	HARRISON	TX	2	HARRISON-TX	54203	FALSE	0	
HENDERSON(TX)	HENDERSON	TX	2	HENDERSON-TX	18213	FALSE	0	
KAUFMAN(TX)	KAUFMAN	TX	2	KAUFMAN-TX	40257	FALSE	0	
MONTAGUE(TX)	MONTAGUE	TX	2	MONTAGUE-TX	26337	FALSE	0	
NAVARRO(TX)	NAVARRO	TX	2	NAVARRO-TX	21349	FALSE	0	
ORANGE(TX)	ORANGE	TX	2	ORANGE-TX	51361	FALSE	0	
PARKER(TX)	PARKER	TX	2	PARKER-TX	48367	FALSE	0	
POLK(TX)	POLK	TX	2	POLK-TX	55373	FALSE	0	
SAN PATRICIO(TX)	SAN PATRICIO	TX	2	SAN PATRICIO-TX	48409	FALSE	0	
SHELBY(TX)	SHELBY	TX	2	SHELBY-TX	51419	FALSE	0	
WISE(TX)	WISE	TX	2	WISE-TX	51497	FALSE	0	
ANDERSON(TX)	ANDERSON	TX	1	ANDERSON-TX	29001	FALSE	0	
BAILEY(TX)	BAILEY	TX	1	BAILEY-TX	12017	FALSE	0	
BREWSTER(TX)	BREWSTER	TX	1	BREWSTER-TX	48043	FALSE	0	
BURNET(TX)	BURNET	TX	1	BURNET-TX	55053	FALSE	0	
COCHRAN(TX)	COCHRAN	TX	1	COCHRAN-TX	47079	FALSE	0	
COMAL(TX)	COMAL	TX	1	COMAL-TX	20091	FALSE	0	
DEAF SMITH(TX)	DEAF SMITH	TX	1	DEAF SMITH-TX	18117	FALSE	0	
DELTA(TX)	DELTA	TX	1	DELTA-TX	02119	FALSE	0	
EASTLAND(TX)	EASTLAND	TX	1	EASTLAND-TX	26133	FALSE	0	
ECTOR(TX)	ECTOR	TX	1	ECTOR-TX	38135	FALSE	0	
FREESTONE(TX)	FREESTONE	TX	1	FREESTONE-TX	08161	FALSE	0	
GUADALUPE(TX)	GUADALUPE	TX	1	GUADALUPE-TX	66187	FALSE	0	
HALE(TX)	HALE	TX	1	HALE-TX	37189	FALSE	0	
HARDIN(TX)	HARDIN	TX	1	HARDIN-TX	35199	FALSE	0	
HOPKINS(TX)	HOPKINS	TX	1	HOPKINS-TX	72223	FALSE	0	
JASPER(TX)	JASPER	TX	1	JASPER-TX	18241	FALSE	0	
JIM WELLS(TX)	JIM WELLS	TX	1	JIM WELLS-TX	17249	FALSE	0	
KLEBERG(TX)	KLEBERG	TX	1	KLEBERG-TX	53273	FALSE	0	
LAMAR(TX)	LAMAR	TX	1	LAMAR-TX	48277	FALSE	0	
MATAGORDA(TX)	MATAGORDA	TX	1	MATAGORDA-TX	02321	FALSE	0	
MAVERICK(TX)	MAVERICK	TX	1	MAVERICK-TX	72323	FALSE	0	
MEDINA(TX)	MEDINA	TX	1	MEDINA-TX	27325	FALSE	0	
MIDLAND(TX)	MIDLAND	TX	1	MIDLAND-TX	74329	FALSE	0	
NOLAN(TX)	NOLAN	TX	1	NOLAN-TX	02353	FALSE	0	
PALO PINTO(TX)	PALO PINTO	TX	1	PALO PINTO-TX	37363	FALSE	0	
PANOLA(TX)	PANOLA	TX	1	PANOLA-TX	08365	FALSE	0	
RANDALL(TX)	RANDALL	TX	1	RANDALL-TX	01381	FALSE	0	
RED RIVER(TX)	RED RIVER	TX	1	RED RIVER-TX	31387	FALSE	0	
ROCKWALL(TX)	ROCKWALL	TX	1	ROCKWALL-TX	40397	FALSE	0	
SABINE(TX)	SABINE	TX	1	SABINE-TX	19403	FALSE	0	
